Name,Account Number,Executive,Balance
David.Scott,5478699344,y,4902
Camille.Stevens,1491130709,y,3755
Todd.Lee,6156242541,y,2663
Jane.Hart,7709709230,y,4673
Fred.Bartlett,8376207454,y,7053
Lucille.Grief,3064787594,y,7938
Josh.Smith,2477112054,y,5319
Amy.Tam,6259020478,y,6021
Ganesh.Ansari,5228821290,y,9558
Lena.Jacobs,8298898401,y,4817
Terence.Johnson,1598677984,n,3858
Gabriel.Lopez,5414501133,n,562
Martina.Garcia,8307627086,n,641
Kevin.Smart,8257961503,n,7892
Alexis.Jordan,8994424594,n,1418
Michelle.Henning,1471445025,n,2298
Malcolm.Brandow,6418204737,n,694
Tara.Briggs,3507810953,n,7884
Donald.Graham,9190440320,n,8947
Whitney.Bell,4643552867,n,9845
